,0,label
0,"[1, 32, 0]",210
1,"[1, 32, 0]",210
2,"[1, 32, 0]",210
3,"[1, 32, 0]",210
4,"[1, 32, 0]",210
5,"[1, 32, 0]",210
6,"[1, 32, 0]",210
7,"[1, 32, 0]",210
8,"[1, 32, 0]",210
9,"[1, 32, 0]",210
10,"[1, 32, 0]",210
11,"[1, 32, 0]",210
12,"[1, 32, 0]",210
13,"[1, 32, 0]",210
14,"[1, 32, 0]",210
15,"[1, 32, 0]",210
16,"[1, 32, 0]",210
17,"[1, 32, 0]",210
18,"[1, 32, 0]",210
19,"[1, 32, 0]",210
20,"[1, 143, 0]",210
21,"[1, 20, 0]",210
22,"[1, 159, 0]",210
23,"[1, 150, 0]",210
24,"[1, 150, 0]",210
25,"[1, 159, 0]",210
26,"[1, 84, 0]",210
27,"[1, 150, 0]",210
28,"[1, 159, 0]",210
29,"[1, 166, 0]",210
30,"[1, 32, 0]",210
31,"[1, 192, 0]",210
32,"[1, 20, 0]",210
33,"[1, 693, 0]",210
34,"[1, 641, 0]",210
35,"[1, 641, 0]",210
36,"[1, 20, 0]",210
37,"[1, 532, 0]",210
38,"[1, 143, 0]",210
39,"[1, 201, 0]",210
40,"[1, 20, 0]",210
41,"[1, 193, 0]",210
42,"[1, 84, 0]",210
43,"[1, 32, 0]",210
44,"[1, 641, 0]",210
45,"[1, 1380, 0]",210
46,"[1, 641, 0]",210
47,"[1, 20, 0]",210
48,"[1, 201, 0]",210
49,"[1, 221, 0]",210
50,"[1, 201, 0]",210
51,"[1, 693, 0]",210
52,"[1, 201, 0]",210
53,"[1, 20, 0]",210
54,"[1, 20, 0]",210
55,"[1, 532, 0]",210
56,"[1, 1380, 0]",210
57,"[1, 201, 0]",210
58,"[1, 20, 0]",210
59,"[1, 201, 0]",210
60,"[1, 201, 0]",210
61,"[1, 1380, 0]",210
62,"[1, 254, 0]",210
63,"[1, 201, 0]",210
64,"[1, 192, 0]",210
65,"[1, 201, 0]",210
66,"[1, 143, 0]",210
67,"[1, 192, 0]",210
68,"[1, 143, 0]",210
69,"[1, 51, 0]",210
70,"[1, 84, 0]",210
71,"[1, 51, 0]",210
72,"[1, 641, 0]",210
73,"[1, 201, 0]",210
74,"[1, 51, 0]",210
75,"[1, 201, 0]",210
76,"[1, 20, 0]",210
77,"[1, 1380, 0]",210
