,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
0,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 81]","[0, 20, 381]","[0, 1380, 381]","[0, 1380, 381]","[0, 519, 381]","[0, 519, 381]","[1, 32, 381]","[1, 84, 398]","[1, 190, 399]","[1, 407, 399]","[0, 532, 478]","[0, 51, 478]",210
1,"[1, 32, 0]","[0, 32, 81]","[1, 20, 81]","[1, 693, 82]","[1, 693, 384]","[0, 20, 429]","[0, 1380, 429]","[0, 1380, 429]","[0, 517, 429]","[0, 517, 429]","[1, 32, 429]","[1, 84, 454]","[1, 190, 456]","[1, 407, 456]","[0, 20, 538]",210
2,"[1, 32, 0]","[0, 20, 0]","[0, 693, 0]","[1, 20, 85]","[1, 1380, 95]","[1, 1380, 95]","[1, 519, 95]","[0, 20, 95]","[0, 84, 124]","[0, 190, 125]","[0, 407, 125]","[1, 20, 206]","[1, 541, 206]","[0, 51, 207]","[1, 192, 218]",210
3,"[1, 32, 0]","[0, 32, 77]","[1, 20, 77]","[1, 693, 79]","[0, 20, 154]","[0, 1380, 161]","[0, 1380, 161]","[0, 517, 161]","[1, 20, 162]","[1, 84, 182]","[1, 190, 183]","[1, 407, 183]","[0, 20, 265]","[0, 541, 265]","[1, 51, 266]",210
4,"[1, 32, 0]","[0, 32, 88]","[1, 20, 88]","[1, 693, 89]","[0, 20, 173]","[0, 1380, 176]","[0, 1380, 177]","[0, 518, 177]","[1, 20, 177]","[1, 84, 184]","[1, 190, 188]","[1, 407, 188]","[0, 532, 265]","[1, 51, 267]","[0, 51, 268]",210
5,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 80]","[0, 20, 163]","[0, 1380, 169]","[0, 1380, 169]","[0, 518, 169]","[1, 20, 169]","[1, 84, 175]","[1, 190, 176]","[1, 407, 177]","[0, 532, 254]","[1, 51, 255]","[0, 51, 255]",210
6,"[1, 32, 0]","[0, 32, 70]","[1, 20, 70]","[1, 693, 71]","[0, 20, 147]","[0, 1380, 149]","[0, 1380, 150]","[1, 20, 150]","[0, 518, 150]","[1, 84, 182]","[1, 190, 184]","[1, 407, 184]","[1, 641, 493]","[0, 20, 500]","[0, 541, 500]",210
7,"[1, 32, 0]","[0, 32, 75]","[1, 20, 75]","[1, 693, 77]","[0, 20, 164]","[0, 1380, 170]","[0, 1380, 173]","[0, 518, 173]","[1, 20, 174]","[1, 84, 182]","[1, 190, 183]","[0, 532, 256]","[0, 51, 256]","[1, 20, 256]","[1, 51, 257]",210
8,"[1, 32, 0]","[0, 32, 76]","[1, 20, 76]","[1, 693, 78]","[0, 20, 221]","[0, 1380, 224]","[0, 1380, 225]","[1, 20, 225]","[0, 518, 225]","[1, 84, 232]","[1, 190, 232]","[1, 407, 232]","[0, 532, 308]","[0, 51, 308]","[1, 20, 308]",210
9,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 81]","[0, 20, 361]","[0, 1380, 361]","[0, 1380, 361]","[0, 518, 361]","[0, 518, 361]","[1, 32, 362]","[1, 84, 374]","[1, 190, 374]","[1, 407, 375]","[0, 532, 466]","[0, 51, 466]",210
10,"[1, 32, 0]","[0, 32, 97]","[1, 20, 97]","[1, 693, 98]","[0, 20, 199]","[0, 1380, 199]","[0, 1380, 199]","[0, 519, 199]","[1, 20, 200]","[1, 84, 205]","[1, 190, 205]","[1, 407, 205]","[0, 20, 299]","[0, 541, 299]","[1, 51, 300]",210
11,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 80]","[1, 693, 400]","[0, 20, 563]","[0, 1380, 563]","[0, 1380, 563]","[0, 518, 563]","[0, 32, 563]","[0, 518, 563]","[1, 20, 563]","[1, 32, 563]","[1, 84, 578]","[1, 190, 580]",210
12,"[1, 32, 0]","[0, 20, 0]","[0, 693, 2]","[1, 20, 92]","[1, 1380, 92]","[1, 1380, 92]","[1, 518, 92]","[0, 20, 92]","[0, 84, 140]","[0, 190, 141]","[1, 532, 246]","[1, 51, 246]","[0, 20, 247]","[0, 51, 248]","[0, 407, 254]",210
13,"[1, 32, 0]","[0, 32, 81]","[1, 20, 81]","[1, 693, 83]","[0, 20, 167]","[0, 1380, 172]","[0, 1380, 173]","[0, 517, 173]","[1, 20, 173]","[1, 84, 185]","[1, 190, 188]","[1, 407, 188]","[0, 532, 267]","[0, 51, 267]","[1, 20, 267]",210
14,"[1, 32, 0]","[0, 32, 75]","[1, 20, 75]","[1, 693, 76]","[0, 20, 155]","[0, 1380, 157]","[0, 1380, 160]","[0, 518, 160]","[1, 20, 160]","[1, 84, 172]","[1, 190, 175]","[1, 407, 175]","[0, 532, 247]","[1, 51, 248]","[0, 51, 249]",210
15,"[1, 32, 0]","[0, 32, 78]","[1, 20, 79]","[1, 693, 80]","[0, 20, 161]","[0, 1380, 173]","[0, 1380, 173]","[1, 20, 174]","[0, 518, 174]","[1, 84, 186]","[1, 190, 187]","[1, 407, 187]","[0, 532, 265]","[1, 51, 265]","[0, 51, 273]",210
16,"[1, 32, 0]","[0, 32, 79]","[1, 20, 79]","[1, 693, 80]","[0, 20, 172]","[0, 1380, 179]","[0, 1380, 179]","[0, 518, 179]","[1, 20, 179]","[1, 84, 185]","[1, 190, 186]","[1, 407, 186]","[0, 20, 266]","[0, 541, 266]","[1, 51, 267]",210
17,"[1, 32, 0]","[0, 32, 84]","[1, 20, 84]","[1, 693, 85]","[0, 20, 301]","[0, 517, 306]","[1, 32, 306]","[0, 1380, 307]","[1, 32, 307]","[0, 1380, 307]","[1, 20, 307]","[1, 84, 320]","[1, 190, 321]","[1, 407, 322]","[0, 532, 422]",210
18,"[1, 32, 0]","[0, 32, 88]","[1, 20, 88]","[1, 693, 89]","[0, 20, 172]","[0, 1380, 176]","[0, 1380, 176]","[1, 20, 176]","[0, 518, 177]","[1, 84, 185]","[1, 190, 186]","[1, 407, 186]","[0, 532, 266]","[0, 51, 266]","[1, 20, 266]",210
19,"[1, 32, 0]","[0, 32, 78]","[1, 20, 78]","[1, 693, 78]","[0, 20, 164]","[0, 1380, 164]","[0, 1380, 164]","[0, 518, 164]","[1, 20, 164]","[1, 84, 176]","[1, 190, 177]","[1, 407, 177]","[1, 641, 483]","[0, 532, 489]","[0, 51, 489]",210
20,"[1, 143, 0]","[1, 1146, 0]","[0, 20, 40]","[0, 191, 45]","[1, 166, 67]","[0, 78, 113]","[0, 1380, 115]","[1, 20, 115]","[0, 274, 116]","[0, 51, 116]","[0, 1380, 116]","[0, 51, 116]","[1, 32, 116]","[1, 32, 116]","[1, 20, 116]",210
21,"[1, 20, 0]","[0, 518, 296]","[1, 32, 296]","[0, 1380, 307]","[1, 20, 307]","[1, 84, 320]","[1, 190, 321]","[1, 407, 321]","[0, 20, 340]","[0, 541, 340]","[1, 51, 341]","[0, 192, 350]","[0, 1380, 350]","[0, 51, 350]","[0, 1380, 350]",210
22,"[1, 159, 0]","[1, 314, 0]","[1, 51, 0]","[0, 20, 0]","[0, 143, 52]","[0, 1146, 52]","[1, 20, 65]","[1, 191, 68]","[0, 166, 104]","[1, 78, 123]","[1, 1380, 123]","[0, 20, 123]","[1, 274, 124]","[1, 51, 124]","[1, 1380, 124]",210
23,"[1, 150, 0]","[0, 159, 12]","[0, 314, 13]","[0, 51, 13]","[1, 20, 13]","[1, 143, 70]","[1, 1146, 71]","[0, 20, 82]","[0, 191, 92]","[1, 166, 118]","[0, 78, 146]","[0, 1380, 146]","[0, 51, 146]","[1, 20, 146]","[0, 1380, 147]",210
24,"[1, 150, 0]","[1, 143, 64]","[1, 1146, 64]","[1, 1380, 235]","[0, 51, 280]","[0, 20, 280]","[0, 191, 280]","[0, 656, 280]","[0, 32, 280]","[1, 32, 280]","[1, 32, 280]","[1, 32, 280]","[1, 166, 285]","[0, 20, 295]","[0, 78, 312]",210
25,"[1, 159, 0]","[1, 318, 0]","[1, 51, 0]","[0, 20, 0]","[0, 143, 43]","[0, 1146, 43]","[1, 20, 58]","[1, 191, 59]","[0, 166, 79]","[1, 78, 94]","[1, 1380, 95]","[1, 51, 95]","[1, 1380, 95]","[1, 51, 95]","[1, 233, 95]",210
26,"[1, 84, 0]","[1, 190, 0]","[1, 407, 1]","[0, 532, 10]","[1, 51, 11]","[0, 51, 16]","[0, 20, 23]","[0, 192, 24]","[1, 20, 24]","[0, 1380, 24]","[0, 51, 25]","[0, 1380, 25]","[0, 51, 25]","[0, 546, 25]","[0, 51, 25]",210
27,"[1, 150, 0]","[0, 159, 15]","[0, 314, 15]","[0, 51, 15]","[1, 20, 15]","[1, 143, 62]","[1, 1144, 62]","[0, 20, 73]","[0, 191, 87]","[1, 166, 120]","[0, 101, 143]","[0, 1380, 143]","[1, 20, 143]","[0, 274, 144]","[0, 51, 144]",210
28,"[1, 159, 0]","[1, 314, 0]","[1, 51, 0]","[0, 20, 0]","[0, 143, 66]","[0, 1144, 66]","[1, 20, 78]","[1, 191, 82]","[0, 166, 109]","[1, 78, 127]","[1, 1380, 127]","[0, 20, 127]","[1, 274, 128]","[1, 51, 128]","[1, 1380, 128]",210
29,"[1, 166, 0]","[0, 78, 26]","[0, 1380, 26]","[1, 20, 26]","[0, 274, 28]","[0, 51, 28]","[0, 1380, 28]","[0, 51, 28]","[1, 32, 28]","[1, 32, 28]","[1, 20, 28]","[1, 143, 48]","[1, 1146, 48]","[0, 20, 62]","[0, 191, 73]",210
30,"[1, 32, 0]","[0, 32, 25]","[1, 20, 26]","[1, 693, 26]","[0, 20, 76]","[0, 1380, 83]","[0, 1380, 83]","[0, 524, 83]","[1, 20, 83]","[1, 84, 89]","[1, 190, 90]","[1, 407, 90]","[0, 20, 101]","[0, 541, 101]","[1, 51, 102]",210
31,"[1, 192, 0]","[1, 1380, 6]","[1, 51, 6]","[1, 1380, 6]","[1, 505, 6]","[1, 61, 6]","[1, 51, 6]","[0, 20, 6]","[0, 201, 104]","[0, 55, 104]","[0, 115, 105]","[0, 91, 105]","[0, 55, 105]","[1, 159, 118]","[1, 318, 120]",210
32,"[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[0, 20, 0]","[1, 524, 4]","[0, 84, 13]","[0, 190, 14]","[0, 407, 15]","[1, 532, 55]","[1, 51, 55]","[0, 20, 55]","[0, 51, 56]","[1, 192, 77]","[1, 1380, 77]","[1, 51, 77]",210
33,"[1, 693, 0]","[0, 20, 41]","[0, 1380, 41]","[0, 1380, 41]","[0, 524, 41]","[0, 524, 41]","[0, 32, 41]","[1, 32, 42]","[0, 1380, 43]","[1, 32, 44]","[1, 84, 50]","[1, 190, 51]","[1, 407, 51]","[0, 20, 81]","[0, 20, 81]",210
34,"[1, 641, 0]","[0, 20, 59]","[0, 541, 59]","[0, 192, 59]","[0, 1380, 59]","[0, 51, 59]","[0, 1380, 59]","[0, 514, 59]","[0, 51, 59]","[0, 51, 59]","[0, 32, 59]","[1, 32, 59]","[1, 51, 60]","[0, 713, 63]","[1, 32, 63]",210
35,"[1, 641, 0]","[0, 20, 40]","[0, 541, 40]","[0, 193, 40]","[0, 1380, 40]","[0, 51, 40]","[0, 1380, 40]","[0, 505, 40]","[0, 61, 40]","[0, 51, 40]","[0, 51, 40]","[0, 32, 40]","[1, 32, 40]","[1, 51, 42]","[1, 201, 84]",210
36,"[1, 20, 0]","[1, 192, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 1380, 0]","[1, 504, 0]","[1, 61, 0]","[1, 51, 0]","[1, 51, 0]","[0, 32, 1]","[0, 201, 31]","[0, 55, 35]","[0, 91, 36]","[0, 55, 37]","[0, 115, 38]",210
37,"[1, 532, 0]","[1, 20, 0]","[1, 51, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 192, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 514, 0]","[0, 32, 1]","[0, 32, 1]","[0, 20, 1]","[0, 32, 1]","[0, 20, 1]","[0, 51, 1]",210
38,"[1, 143, 0]","[1, 1145, 0]","[1, 1380, 158]","[1, 98, 192]","[0, 20, 198]","[0, 20, 198]","[0, 159, 198]","[0, 315, 198]","[0, 51, 198]","[0, 51, 198]","[0, 20, 198]","[0, 191, 198]","[0, 32, 198]","[0, 656, 198]","[1, 32, 199]",210
39,"[1, 201, 0]","[1, 55, 0]","[1, 115, 2]","[1, 91, 2]","[1, 55, 2]","[0, 20, 11]","[0, 20, 12]","[0, 159, 14]","[0, 317, 14]","[0, 51, 14]","[1, 20, 14]","[1, 143, 76]","[1, 1148, 76]","[0, 20, 88]","[0, 191, 97]",210
40,"[1, 20, 0]","[1, 1380, 8]","[1, 1380, 8]","[1, 524, 8]","[0, 20, 8]","[0, 84, 14]","[0, 190, 14]","[0, 407, 14]","[1, 532, 145]","[1, 51, 145]","[0, 20, 145]","[0, 51, 145]","[1, 192, 200]","[1, 1380, 200]","[1, 51, 200]",210
41,"[1, 193, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 474, 0]","[1, 61, 0]","[1, 51, 0]","[1, 51, 0]","[1, 193, 0]","[0, 32, 1]","[0, 32, 1]","[0, 150, 75]","[1, 159, 93]","[1, 318, 94]",210
42,"[1, 84, 0]","[1, 190, 1]","[1, 407, 1]","[0, 532, 11]","[1, 51, 11]","[0, 51, 12]","[0, 20, 20]","[0, 192, 26]","[1, 20, 26]","[0, 1380, 30]","[0, 51, 31]","[0, 1380, 31]","[0, 51, 31]","[0, 483, 31]","[0, 51, 31]",210
43,"[1, 32, 0]","[0, 20, 1]","[0, 693, 2]","[1, 20, 24]","[1, 1380, 25]","[1, 1380, 25]","[0, 20, 25]","[1, 524, 26]","[0, 84, 34]","[0, 190, 35]","[0, 407, 35]","[1, 532, 53]","[1, 20, 53]","[1, 51, 53]","[0, 20, 53]",210
44,"[1, 641, 0]","[0, 192, 46]","[0, 1380, 46]","[0, 51, 46]","[0, 1380, 46]","[0, 51, 46]","[0, 546, 46]","[0, 546, 46]","[0, 32, 46]","[1, 32, 47]","[1, 32, 47]","[1, 32, 47]","[1, 32, 47]","[1, 32, 47]","[1, 32, 47]",210
45,"[1, 1380, 0]","[1, 98, 20]","[0, 20, 28]","[0, 20, 28]","[0, 182, 28]","[0, 317, 28]","[0, 51, 28]","[0, 51, 28]","[0, 20, 28]","[0, 191, 28]","[0, 20, 28]","[1, 32, 28]","[1, 20, 28]","[0, 78, 46]","[0, 1380, 46]",210
46,"[1, 641, 0]","[0, 20, 57]","[0, 541, 57]","[0, 192, 57]","[0, 1380, 57]","[0, 51, 57]","[0, 1380, 57]","[0, 51, 57]","[0, 484, 57]","[0, 51, 57]","[0, 51, 57]","[0, 32, 57]","[0, 713, 57]","[1, 32, 58]","[1, 32, 58]",210
47,"[1, 20, 0]","[1, 20, 0]","[1, 20, 0]","[1, 20, 0]","[1, 20, 0]","[1, 182, 0]","[1, 314, 7]","[1, 51, 7]","[0, 20, 7]","[0, 143, 54]","[0, 1147, 54]","[1, 20, 105]","[1, 191, 105]","[0, 98, 117]","[0, 98, 392]",210
48,"[1, 201, 0]","[1, 115, 1]","[1, 55, 1]","[1, 91, 1]","[1, 55, 1]","[0, 20, 16]","[0, 159, 18]","[0, 314, 18]","[0, 51, 18]","[1, 20, 18]","[1, 143, 81]","[1, 1147, 82]","[0, 20, 103]","[0, 191, 105]","[1, 98, 140]",210
49,"[1, 221, 0]","[0, 20, 57]","[0, 51, 57]","[0, 32, 57]","[1, 20, 100]","[1, 407, 108]","[0, 20, 121]","[0, 192, 144]","[0, 1380, 145]","[1, 20, 145]","[0, 51, 145]","[0, 1380, 145]","[0, 505, 145]","[0, 61, 145]","[0, 51, 145]",210
50,"[1, 201, 0]","[1, 55, 0]","[1, 115, 17]","[1, 91, 18]","[1, 55, 19]","[0, 20, 37]","[0, 20, 48]","[0, 182, 48]","[0, 314, 48]","[0, 51, 48]","[1, 20, 48]","[1, 143, 82]","[1, 1147, 83]","[0, 20, 95]","[0, 191, 122]",210
51,"[1, 693, 0]","[0, 1380, 8]","[0, 1380, 8]","[0, 523, 8]","[0, 523, 8]","[0, 1380, 8]","[1, 20, 8]","[1, 32, 9]","[1, 32, 9]","[1, 84, 19]","[1, 190, 19]","[0, 32, 27]","[0, 20, 31]","[0, 532, 31]","[0, 51, 31]",210
52,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 2]","[1, 55, 2]","[0, 20, 10]","[0, 20, 11]","[0, 20, 11]","[0, 20, 12]","[0, 20, 12]","[0, 182, 15]","[0, 318, 15]","[0, 51, 15]","[1, 20, 15]","[1, 143, 87]",210
53,"[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[0, 20, 0]","[1, 523, 0]","[0, 84, 7]","[0, 190, 8]","[0, 407, 8]","[1, 532, 18]","[0, 51, 19]","[1, 51, 19]","[1, 20, 28]","[1, 192, 35]","[0, 20, 35]","[1, 1380, 36]",210
54,"[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 525, 0]","[1, 525, 0]","[1, 1380, 0]","[0, 20, 0]","[0, 32, 0]","[0, 32, 0]","[0, 84, 9]","[0, 190, 10]","[1, 532, 33]","[1, 51, 33]","[0, 51, 33]","[0, 20, 80]",210
55,"[1, 532, 0]","[1, 51, 0]","[0, 20, 0]","[0, 51, 1]","[1, 20, 12]","[1, 192, 13]","[1, 1380, 13]","[1, 51, 13]","[1, 1380, 13]","[1, 51, 13]","[1, 515, 13]","[0, 32, 13]","[0, 20, 14]","[0, 201, 90]","[0, 55, 90]",210
56,"[1, 1380, 0]","[0, 20, 2]","[0, 20, 2]","[0, 160, 2]","[0, 314, 2]","[0, 51, 2]","[0, 51, 2]","[0, 20, 2]","[0, 191, 2]","[1, 32, 3]","[1, 20, 3]","[1, 98, 12]","[0, 656, 12]","[1, 32, 12]","[0, 32, 14]",210
57,"[1, 201, 0]","[1, 55, 1]","[1, 91, 8]","[1, 55, 8]","[1, 115, 10]","[0, 20, 11]","[0, 20, 19]","[0, 159, 23]","[0, 315, 30]","[0, 51, 30]","[1, 20, 30]","[1, 143, 84]","[1, 1147, 84]","[0, 20, 96]","[0, 191, 104]",210
58,"[1, 20, 0]","[0, 201, 14]","[0, 55, 14]","[0, 115, 22]","[0, 91, 23]","[0, 55, 23]","[1, 159, 78]","[1, 317, 78]","[1, 51, 78]","[1, 20, 78]","[1, 20, 78]","[1, 20, 78]","[1, 20, 78]","[1, 20, 78]","[0, 20, 79]",210
59,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 1]","[0, 20, 10]","[0, 20, 10]","[0, 20, 11]","[0, 20, 11]","[0, 20, 11]","[0, 159, 15]","[0, 314, 15]","[0, 51, 15]","[1, 20, 15]","[1, 143, 90]",210
60,"[1, 201, 0]","[1, 55, 0]","[1, 91, 1]","[1, 55, 1]","[1, 115, 1]","[0, 20, 14]","[0, 20, 14]","[0, 20, 15]","[0, 20, 15]","[0, 20, 15]","[0, 159, 31]","[0, 314, 31]","[0, 51, 31]","[1, 20, 31]","[1, 143, 77]",210
61,"[1, 1380, 0]","[0, 20, 34]","[0, 20, 34]","[0, 159, 34]","[0, 314, 34]","[0, 51, 34]","[0, 51, 34]","[0, 20, 34]","[0, 191, 34]","[0, 655, 34]","[0, 32, 34]","[1, 32, 34]","[1, 32, 34]","[1, 98, 53]","[0, 20, 69]",210
62,"[1, 254, 0]","[0, 20, 45]","[0, 541, 45]","[0, 541, 45]","[0, 32, 45]","[1, 32, 45]","[1, 51, 47]","[1, 407, 52]","[0, 20, 57]","[0, 20, 65]","[0, 192, 85]","[0, 1380, 86]","[0, 51, 86]","[0, 1380, 86]","[0, 505, 86]",210
